1779957904.566386 server started (1108490): version 3.6, socket /home/skynet/sockets/tmux-1000/debug-test, protocol 8
1779957904.566434 on Linux 7.0.0-15-generic #15-Ubuntu SMP PREEMPT_DYNAMIC Wed Apr 22 16:06:43 UTC 2026
1779957904.566450 using libevent 2.1.12-stable poll
1779957904.566459 using ncurses 6.5 20251123
1779957904.566513 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779957904.566524 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779957904.566531 input_key_build: 0x10e25b (F1) is \033OP
1779957904.566548 input_key_build: 0x10e25c (F2) is \033OQ
1779957904.566556 input_key_build: 0x10e25d (F3) is \033OR
1779957904.566564 input_key_build: 0x10e25e (F4) is \033OS
1779957904.566571 input_key_build: 0x10e25f (F5) is \033[15~
1779957904.566579 input_key_build: 0x10e260 (F6) is \033[17~
1779957904.566584 input_key_build: 0x10e261 (F7) is \033[18~
1779957904.566592 input_key_build: 0x10e262 (F8) is \033[19~
1779957904.566598 input_key_build: 0x10e263 (F9) is \033[20~
1779957904.566607 input_key_build: 0x10e264 (F10) is \033[21~
1779957904.566618 input_key_build: 0x10e265 (F11) is \033[23~
1779957904.566623 input_key_build: 0x10e266 (F12) is \033[24~
1779957904.566631 input_key_build: 0x10e267 (IC) is \033[2~
1779957904.566637 input_key_build: 0x10e268 (DC) is \033[3~
1779957904.566646 input_key_build: 0x10e269 (Home) is \033[1~
1779957904.566652 input_key_build: 0x10e26a (End) is \033[4~
1779957904.566659 input_key_build: 0x10e26b (NPage) is \033[6~
1779957904.566666 input_key_build: 0x10e26c (PPage) is \033[5~
1779957904.566673 input_key_build: 0x10e26d (BTab) is \033[Z
1779957904.566679 input_key_build: 0x10e26e (Up) is \033[A
1779957904.566687 input_key_build: 0x10e26f (Down) is \033[B
1779957904.566693 input_key_build: 0x10e270 (Left) is \033[D
1779957904.566700 input_key_build: 0x10e271 (Right) is \033[C
1779957904.566706 input_key_build: 0x10e272 (KP/) is /
1779957904.566714 input_key_build: 0x10e273 (KP*) is *
1779957904.566721 input_key_build: 0x10e274 (KP-) is -
1779957904.566727 input_key_build: 0x10e275 (KP7) is 7
1779957904.566733 input_key_build: 0x10e276 (KP8) is 8
1779957904.566741 input_key_build: 0x10e277 (KP9) is 9
1779957904.566747 input_key_build: 0x10e278 (KP+) is +
1779957904.566755 input_key_build: 0x10e279 (KP4) is 4
1779957904.566761 input_key_build: 0x10e27a (KP5) is 5
1779957904.566769 input_key_build: 0x10e27b (KP6) is 6
1779957904.566774 input_key_build: 0x10e27c (KP1) is 1
1779957904.566782 input_key_build: 0x10e27d (KP2) is 2
1779957904.566789 input_key_build: 0x10e27e (KP3) is 3
1779957904.566794 input_key_build: 0x10e27f (KPEnter) is \n
1779957904.566802 input_key_build: 0x10e280 (KP0) is 0
1779957904.566810 input_key_build: 0x10e281 (KP.) is .
1779957904.566820 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1779957904.566826 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1779957904.566833 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1779957904.566838 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1779957904.566847 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1779957904.566853 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1779957904.566862 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1779957904.566867 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1779957904.566872 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1779957904.566881 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1779957904.566887 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1779957904.566894 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1779957904.566900 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1779957904.566907 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1779957904.566912 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1779957904.566919 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1779957904.566929 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1779957904.566935 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1779957904.566943 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
