1779957977.776502 server started (1113832): version 3.6, socket /home/skynet/sockets/tmux-1000/verbose-test, protocol 8
1779957977.776570 on Linux 7.0.0-15-generic #15-Ubuntu SMP PREEMPT_DYNAMIC Wed Apr 22 16:06:43 UTC 2026
1779957977.776586 using libevent 2.1.12-stable poll
1779957977.776594 using ncurses 6.5 20251123
1779957977.776663 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779957977.776680 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779957977.776689 input_key_build: 0x10e25b (F1) is \033OP
1779957977.776696 input_key_build: 0x10e25c (F2) is \033OQ
1779957977.776702 input_key_build: 0x10e25d (F3) is \033OR
1779957977.776709 input_key_build: 0x10e25e (F4) is \033OS
1779957977.776716 input_key_build: 0x10e25f (F5) is \033[15~
1779957977.776727 input_key_build: 0x10e260 (F6) is \033[17~
1779957977.776733 input_key_build: 0x10e261 (F7) is \033[18~
1779957977.776739 input_key_build: 0x10e262 (F8) is \033[19~
1779957977.776745 input_key_build: 0x10e263 (F9) is \033[20~
1779957977.776751 input_key_build: 0x10e264 (F10) is \033[21~
1779957977.776757 input_key_build: 0x10e265 (F11) is \033[23~
1779957977.776765 input_key_build: 0x10e266 (F12) is \033[24~
1779957977.776771 input_key_build: 0x10e267 (IC) is \033[2~
1779957977.776777 input_key_build: 0x10e268 (DC) is \033[3~
1779957977.776783 input_key_build: 0x10e269 (Home) is \033[1~
1779957977.776789 input_key_build: 0x10e26a (End) is \033[4~
1779957977.776797 input_key_build: 0x10e26b (NPage) is \033[6~
1779957977.776805 input_key_build: 0x10e26c (PPage) is \033[5~
1779957977.776811 input_key_build: 0x10e26d (BTab) is \033[Z
1779957977.776818 input_key_build: 0x10e26e (Up) is \033[A
1779957977.776824 input_key_build: 0x10e26f (Down) is \033[B
1779957977.776830 input_key_build: 0x10e270 (Left) is \033[D
1779957977.776836 input_key_build: 0x10e271 (Right) is \033[C
1779957977.776844 input_key_build: 0x10e272 (KP/) is /
1779957977.776851 input_key_build: 0x10e273 (KP*) is *
1779957977.776858 input_key_build: 0x10e274 (KP-) is -
1779957977.776864 input_key_build: 0x10e275 (KP7) is 7
1779957977.776870 input_key_build: 0x10e276 (KP8) is 8
1779957977.776876 input_key_build: 0x10e277 (KP9) is 9
1779957977.776885 input_key_build: 0x10e278 (KP+) is +
1779957977.776891 input_key_build: 0x10e279 (KP4) is 4
1779957977.776898 input_key_build: 0x10e27a (KP5) is 5
1779957977.776904 input_key_build: 0x10e27b (KP6) is 6
1779957977.776911 input_key_build: 0x10e27c (KP1) is 1
1779957977.776917 input_key_build: 0x10e27d (KP2) is 2
1779957977.776925 input_key_build: 0x10e27e (KP3) is 3
1779957977.776931 input_key_build: 0x10e27f (KPEnter) is \n
1779957977.776937 input_key_build: 0x10e280 (KP0) is 0
1779957977.776943 input_key_build: 0x10e281 (KP.) is .
1779957977.776952 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1779957977.776961 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1779957977.776968 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1779957977.776976 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1779957977.776984 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1779957977.776992 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1779957977.777000 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1779957977.777010 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1779957977.777017 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1779957977.777024 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1779957977.777031 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1779957977.777038 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1779957977.777047 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1779957977.777057 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1779957977.777064 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1779957977.777072 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1779957977.777084 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1779957977.777094 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1779957977.777101 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1779957977.777118 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1779957977.777129 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1779957977.777140 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1779957977.777148 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1779957977.777157 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1779957977.777166 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1779957977.777176 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1779957977.777185 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1779957977.777193 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1779957977.777207 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1779957977.777215 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1779957977.777229 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1779957977.777240 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1779957977.777249 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1779957977.777258 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1779957977.777267 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1779957977.777280 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1779957977.777290 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1779957977.777301 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1779957977.777309 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1779957977.777319 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1779957977.777328 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1779957977.777337 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1779957977.777345 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1779957977.777357 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1779957977.777368 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1779957977.777377 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
